'Lamda_MAX_(micrometros)','Lamda_MIN_(micrometros)','Delta_Lamda_(rmse)','Radial Velocity (km s-1)','Delta_rv(ABSFERR)','Tempeartura_(Kelvin)','Delta_Temperatura','Tipo_de_Estrella','Archivo'
4.17477,0.806522,3.7091470747999044e-12,-10.1517570000,0.0361642000000,4296.305082735306,2.3627939372035497e-08,G,./data/G/G21
4.17477,0.806522,3.037472904537693e-12,-10.1517570000,0.0361642000000,4095.7213733444523,1.758469291428567e-08,G,./data/G/G22
4.11346,0.811173,3.8646946077074185e-12,30.9711380000,0.0351010000000,4257.482478437826,2.4175890884126243e-08,G,./data/G/G23
5.42496,0.806765,2.4093233873612518e-12,-34.5101390000,0.0173498000000,4447.8555859147145,1.644970141950343e-08,G,./data/G/G24
4.98560,0.807420,4.773804476118295e-12,-80.8515420000,0.201465000000,4369.778313979791,3.145900659767966e-08,G,./data/G/G25
4.98560,0.807420,1.9139967812386025e-12,-80.8515420000,0.201465000000,3430.5333570117796,7.773669334342275e-09,G,./data/G/G26
4.94214,0.812116,2.8100935985381524e-12,-20.1504370000,0.0256440000000,4209.731080472461,1.7186643170668393e-08,G,./data/G/G27
2.41772,0.812066,6.218369434742075e-12,-6.00334920000,0.135188000000,4297.834470483535,3.964034782977708e-08,G,./data/G/G28
5.03348,0.807451,3.0454653348923475e-12,121.677930000,0.0126181000000,4763.595712500822,2.3849815236179165e-08,G,./data/G/G29
5.03348,0.807451,1.4841716845875028e-12,121.677930000,0.0126181000000,3810.124917817225,7.435739010868654e-09,G,./data/G/G30
4.92627,0.803488,5.053395984732365e-12,-12.6340260000,0.0347419000000,4538.562746695069,3.592374343807524e-08,G,./data/G/G31
5.02279,0.803332,9.38635844941841e-12,13.2162550000,0.108678000000,4309.4037686461725,6.015795665579133e-08,G,./data/G/G32
4.10977,0.807828,3.774817395771727e-12,48.4907080000,0.0140760000000,4480.7323560338955,2.61550480041968e-08,G,./data/G/G33
4.10977,0.807828,1.681384437439341e-12,48.4907080000,0.0140760000000,3642.3974255832654,7.698449248723881e-09,G,./data/G/G34
2.41770,0.811062,3.0557772730219238e-12,10.6110390000,0.0353938000000,3982.1889945577477,1.672349324727556e-08,G,./data/G/G35
5.02382,0.809152,3.5374266576704946e-12,46.0475000000,0.0108192000000,4933.092716810242,2.9708968097662013e-08,G,./data/G/G36
4.94323,0.814988,1.341856502849423e-11,6.12371910000,0.115288000000,4796.001125511031,1.0651878275882826e-07,G,./data/G/G37
5.06988,0.804791,3.850884106224951e-12,15.6177310000,0.141410000000,4158.19987371563,2.2979085305375866e-08,G,./data/G/G38
5.06988,0.804791,3.1967926360699445e-12,15.6177310000,0.141410000000,3955.551915253774,1.7261964171616063e-08,G,./data/G/G39
4.22611,0.811435,1.2756492228745787e-11,5.28008870000,0.153049000000,3927.0322283359983,6.789249465047895e-08,G,./data/G/G40
4.22611,0.811435,6.208138743741884e-12,5.28008870000,0.153049000000,3336.403831982314,2.3849550817633437e-08,G,./data/G/G41
5.45311,0.810489,9.939507896273451e-12,0.0647712020000,0.142019000000,4091.0952038064574,5.741238945972683e-08,G,./data/G/G42
5.03488,0.808233,6.116406949665926e-13,-22.5823510000,0.0136252000000,4023.773815475198,3.4176301350964114e-09,G,./data/G/G43
5.42393,0.806600,8.633246776237963e-13,23.1178860000,0.0138328000000,4184.924681176793,5.21808337968027e-09,G,./data/G/G44
5.42393,0.806600,7.16951966313268e-13,23.1178860000,0.0138328000000,3997.4615787876273,3.953850314782896e-09,G,./data/G/G45
4.17884,0.814430,7.410627234227253e-12,-2.86545570000,0.0256166000000,4510.023658323994,5.202045845689362e-08,G,./data/G/G46
4.17884,0.814430,2.343113387963471e-12,-2.86545570000,0.0256166000000,3082.61877912296,7.684126610513646e-09,G,./data/G/G47
5.03520,0.804375,6.018091693637066e-12,-38.5798370000,0.121971000000,4571.284332749617,4.340071035413212e-08,G,./data/G/G48
5.03520,0.804375,4.313898407190844e-12,-38.5798370000,0.121971000000,4188.070013152759,2.6113155013143255e-08,G,./data/G/G49
4.08230,0.803418,5.349556779947705e-12,-2.69630270000,0.141226000000,4316.658224830914,3.4401287538898845e-08,G,./data/G/G50
5.00889,0.809747,3.65405176218293e-12,-8.67074510000,0.145834000000,4146.418247903608,2.1681158102944442e-08,G,./data/G/G51
5.07832,0.803662,9.222053734506492e-12,-10.8478110000,0.129057000000,4235.328509829716,5.709044376370232e-08,G,./data/G/G52
4.94273,0.811689,4.0734667602184236e-12,-11.5836270000,0.0353304000000,3896.247092202396,2.1341194610232954e-08,G,./data/G/G53
4.05193,0.805162,1.1843685868319531e-11,-54.4561220000,0.131792000000,3891.7989631181663,6.190835197816535e-08,G,./data/G/G54
4.05193,0.805162,5.910669929818506e-12,-54.4561220000,0.131792000000,3272.27555053642,2.1842281986037167e-08,G,./data/G/G55
4.11498,0.811033,2.477005718185453e-11,-17.2175170000,0.165002000000,4086.5947394400955,1.4276170280656804e-07,G,./data/G/G56
5.03399,0.805909,5.542076805014051e-11,30.3098430000,0.118836000000,4047.88846513837,3.133943641915998e-07,G,./data/G/G57
5.39915,0.803720,4.994905976468046e-12,48.8383690000,0.0352090000000,4645.301954245955,3.7197759580874065e-08,G,./data/G/G58
5.39915,0.803720,4.1768702348725556e-12,48.8383690000,0.0352090000000,4416.198009540792,2.811315748000298e-08,G,./data/G/G59
4.92745,0.810754,6.0757117975894095e-12,-10.0631130000,0.0351817000000,4504.134800721258,4.253843335614496e-08,G,./data/G/G60
5.07040,0.805945,5.5680541123764115e-12,57.1145630000,0.131389000000,3835.6962259904953,2.8271797711175167e-08,G,./data/G/G61
5.07040,0.805945,2.4701202499653183e-12,57.1145630000,0.131389000000,3140.348975831798,8.406892377977644e-09,G,./data/G/G62
4.08858,0.807855,5.535025192279227e-12,-11.8184040000,0.133572000000,3937.812567949554,2.9620422600123037e-08,G,./data/G/G63
2.41745,0.813201,4.4069402154719345e-13,11.6572260000,0.0132598000000,4044.4419630394723,2.4878027379907463e-09,K,./data/K/K1
2.41745,0.813201,5.391497148938733e-13,11.6572260000,0.0132598000000,4245.443356971224,3.3536446924765924e-09,K,./data/K/K2
4.07594,0.806966,1.9436850668666196e-12,-5.85311560000,0.149329000000,2980.64064846627,5.959457195588624e-09,K,./data/K/K3
4.07594,0.806966,3.2464023428824922e-12,-5.85311560000,0.149329000000,3348.084811369807,1.2559050639320849e-08,K,./data/K/K4
2.42248,0.806727,1.6740534093806356e-11,16.2121810000,0.140284000000,4205.088017182579,1.0216004080732221e-07,K,./data/K/K5
2.42248,0.806727,6.970613790990315e-12,16.2121810000,0.140284000000,3052.386520452127,2.241360129664964e-08,K,./data/K/K6
4.18321,0.810812,2.347941783741904e-12,-10.7156820000,0.0119507000000,3931.934757239395,1.2527415946304253e-08,K,./data/K/K7
4.18321,0.810812,1.6136749552839736e-12,-10.7156820000,0.0119507000000,3602.0984063051637,7.2258471752603826e-09,K,./data/K/K8
5.01591,0.806796,3.0193287041491253e-12,-3.71605010000,0.0245719000000,4130.518453051274,1.777792608560869e-08,K,./data/K/K9
5.01591,0.806796,2.1962302701356295e-12,-3.71605010000,0.0245719000000,3848.227685033932,1.1224343769666095e-08,K,./data/K/K10
4.11515,0.810445,6.145603696459453e-12,25.4885140000,0.149488000000,3828.853828060995,3.109307624267895e-08,K,./data/K/K11
4.98853,0.809069,2.2881587771814262e-12,-21.7543330000,0.0105400000000,4467.2617671091375,1.5759067916034998e-08,K,./data/K/K12
4.10887,0.810217,2.5694165118060437e-12,26.3697180000,0.0149643000000,3726.0499447059124,1.2311002561198168e-08,K,./data/K/K13
4.18209,0.810894,7.1185397919478725e-12,14.0381280000,0.158083000000,3831.7398606207266,3.606986507745392e-08,K,./data/K/K14
5.01555,0.810983,2.1111670670765152e-09,13.0493400000,0.115338000000,3766.981708506129,1.0338825191141255e-05,K,./data/K/K15
5.01555,0.810983,1.725321187905042e-09,13.0493400000,0.115338000000,3599.6819717749945,7.715423841710389e-06,K,./data/K/K16
5.01450,0.810976,2.1833003108927562e-09,15.6699420000,0.115338000000,3760.5284674185295,1.065547476676565e-05,K,./data/K/K17
5.01450,0.810976,1.7967084145557076e-09,15.6699420000,0.115338000000,3591.8286394287975,7.999638957883649e-06,K,./data/K/K18
2.41798,0.811387,3.2981263669911436e-11,1.76789160000,0.128889000000,4149.565366824671,1.959900750100635e-07,K,./data/K/K19
5.05718,0.806269,1.7394040528428725e-11,25.9128590000,0.140968000000,4149.090023912825,1.0333983423119405e-07,K,./data/K/K20
5.05718,0.806269,7.896910300083327e-12,25.9128590000,0.140968000000,3328.049985068798,3.01855054858176e-08,K,./data/K/K21
4.17884,0.810295,4.293997643392024e-12,-36.2070440000,0.169491000000,4286.453941626355,2.7228247642497698e-08,K,./data/K/K22
2.41704,0.812404,5.306748435853196e-12,-40.3218890000,0.150106000000,4071.5500161591744,3.0360548680920586e-08,K,./data/K/K23
2.41763,0.813423,1.7255691809930195e-11,-39.2937680000,0.113610000000,4089.247660847598,9.958198305093792e-08,K,./data/K/K24
5.00355,0.810123,7.824664900667884e-12,-30.5693910000,0.139928000000,4284.805914972273,4.957807090433668e-08,K,./data/K/K25
5.01445,0.810739,9.303275280848572e-12,-5.82291700000,0.117738000000,3644.5048172464967,4.264562621339631e-08,K,./data/K/K26
5.01445,0.810739,4.3802343824269186e-12,-5.82291700000,0.117738000000,3048.2121629724693,1.4045891205655368e-08,K,./data/K/K27
2.41798,0.811387,2.5256219034487438e-11,1.76789160000,0.128889000000,3902.9120982732143,1.3277228903631266e-07,K,./data/K/K28
4.93929,0.803497,4.749543401680887e-12,-1.70329400000,0.123584000000,3711.445844861153,2.2578739014187202e-08,K,./data/K/K29
4.93929,0.803497,3.2483705153649527e-12,-1.70329400000,0.123584000000,3417.4244300557853,1.3092571863191087e-08,K,./data/K/K30
2.41724,0.810535,7.282568873802193e-11,-18.4061680000,0.103933000000,3680.426775053981,3.404415276808879e-07,K,./data/K/K31
4.98444,0.807546,2.0835319277873103e-12,-111.518270000,0.175576000000,3605.6394111718073,9.348163748571728e-09,K,./data/K/K32
5.04583,0.804107,3.68357799105106e-11,-51.9596740000,0.122141000000,4086.537105463571,2.122962533678266e-07,K,./data/K/K33
5.04583,0.804107,1.28849875093221e-11,-51.9596740000,0.122141000000,2822.3834802513024,3.5422369736088313e-08,K,./data/K/K34
5.00050,0.806683,1.4018177683388126e-12,-61.6424450000,0.0128812000000,4212.423859159433,8.584544483033196e-09,K,./data/K/K35
4.12198,0.812028,4.543689351396968e-12,12.6320280000,0.146650000000,3486.7993550095057,1.9064442612469625e-08,K,./data/K/K36
5.00002,0.808144,2.3610484670402044e-12,-30.9604230000,0.0120128000000,3987.285161894015,1.2954512142590601e-08,K,./data/K/K37
4.12330,0.811483,4.056536534204292e-11,49.3906120000,0.148613000000,3505.995377932653,1.720836611048821e-07,K,./data/K/K38
4.12330,0.811483,2.4187815391357867e-11,49.3906120000,0.148613000000,3162.628247107618,8.349385308069503e-08,K,./data/K/K39
5.03545,0.808450,1.2144820292316138e-11,18.2229440000,0.138842000000,3540.5236983907816,5.2539709995775396e-08,K,./data/K/K40
5.03545,0.808450,6.60121452235974e-12,18.2229440000,0.138842000000,2878.6298294240946,1.8878046706695152e-08,K,./data/K/K41
5.03392,0.808249,4.442604159855735e-12,-27.7090310000,0.171923000000,3738.018757175845,2.142309129642294e-08,K,./data/K/K42
5.03392,0.808249,1.967562712502187e-12,-27.7090310000,0.171923000000,3083.4060484814945,6.455822640832463e-09,K,./data/K/K43
2.42292,0.805917,4.666789977620093e-12,0.603581810000,0.144643000000,3686.842339648569,2.1892177267361412e-08,K,./data/K/K44
2.42292,0.805917,3.616149285611086e-12,0.603581810000,0.144643000000,3503.706122054147,1.5320158632008427e-08,K,./data/K/K45
4.96898,0.809776,7.199703093394033e-12,4.79437480000,0.160676000000,3629.167606021893,3.2725794994515715e-08,K,./data/K/K46
4.96898,0.809776,5.038691858797925e-12,4.79437480000,0.160676000000,3360.432347176638,1.963675311649498e-08,K,./data/K/K47
4.18121,0.810793,1.78143606380417e-11,27.0651090000,0.132507000000,3580.555075006796,7.88192909454829e-08,K,./data/K/K48
4.18121,0.810793,1.3958274813949146e-11,27.0651090000,0.132507000000,3392.6961490275967,5.5447662613549426e-08,K,./data/K/K49
4.92595,0.809712,5.314385976494634e-12,-47.9833690000,0.148376000000,3825.5680392907593,2.6841483886475163e-08,K,./data/K/K50
5.01539,0.812570,5.314352078879255e-12,32.7741140000,0.133664000000,3274.4942931404676,1.9665290489353937e-08,K,./data/K/K51
5.01539,0.812570,3.878559988521832e-12,32.7741140000,0.133664000000,3080.6196110951632,1.2703056553279737e-08,K,./data/K/K52
5.00002,0.808144,1.151779060232156e-12,-30.9604230000,0.0120128000000,3400.7393932280966,4.5970311864640915e-09,K,./data/K/K53
2.41771,0.810049,4.9205448342756555e-11,18.2966490000,0.0957185000000,3290.78271930223,1.838963783921567e-07,K,./data/K/K54
2.41771,0.810049,2.906763845371585e-11,18.2966490000,0.0957185000000,2743.8094787178634,7.552299788196523e-08,K,./data/K/K55
4.12328,0.810140,5.263769061548103e-11,15.4155280000,0.115162000000,3144.0289924263793,1.7956904731824645e-07,K,./data/K/K56
4.99464,0.813120,3.121859364487133e-11,3.70373200000,0.105202000000,2804.7352169662468,8.475369420480806e-08,K,./data/K/K57
4.99464,0.813120,3.049781721217252e-11,3.70373200000,0.105202000000,2665.979684969822,7.480730266779673e-08,K,./data/K/K58
5.00258,0.803574,1.8524771631642315e-12,-17.6437420000,0.117283000000,3132.3035013566537,6.272520678827075e-09,K,./data/K/K59
5.44471,0.807269,1.3856351563740934e-12,-42.1032680000,0.0145794000000,3830.3722504230113,7.016045965770249e-09,K,./data/K/K60
2.41840,0.809134,2.6714301568208146e-11,-21.4491120000,0.117078000000,3116.73783734363,8.955831997315513e-08,K,./data/K/K61
2.41754,0.811014,1.9706679516924892e-11,31.4723140000,0.158945000000,3185.260913058294,6.900253492005776e-08,K,./data/K/K62
2.41754,0.811014,1.3106369994514685e-11,31.4723140000,0.158945000000,2645.267895452761,3.165069954300758e-08,K,./data/K/K63
5.03465,0.809998,9.237607605168635e-12,9.53479160000,0.124235000000,2984.693352011701,2.8400142155744168e-08,K,./data/K/K64
2.41236,0.806136,1.467489446562534e-11,-42.8169400000,0.152011000000,3857.8599102637495,7.537537052322274e-08,K,./data/K/K65
4.94458,0.808746,7.115862014028955e-13,-0.305768230000,0.0117272000000,3601.6059065541367,3.185528278616198e-09,K,./data/K/K66
4.12771,0.812268,1.003321804657239e-14,'NAN',0.0122792000000,2360.474115107327,1.929302390139858e-11,L,./data/L/L1
2.41767,0.935314,1.1858975339125326e-15,'NAN',0.0158867000000,2401.0606562810735,2.359472912709755e-12,L,./data/L/L2
4.13614,0.810444,4.209435609528984e-15,'NAN',0.0114660000000,2388.866904102361,8.290282789666384e-12,L,./data/L/L3
4.14757,0.930422,2.0920834450324435e-15,'NAN',0.0141853000000,2212.077257805939,3.5329797772261773e-12,L,./data/L/L4
2.41211,0.932289,1.2156263478031847e-15,'NAN',0.0153681000000,2211.182588921193,2.0512135824853376e-12,L,./data/L/L5
4.14890,0.931440,2.233722731617165e-15,'NAN',0.0120142000000,2158.0879888580216,3.5902866657794797e-12,L,./data/L/L6
4.12467,0.814107,6.0341508172384736e-15,'NAN',0.0145089000000,2153.148801783392,9.65441174208976e-12,L,./data/L/L7
2.41190,0.932559,1.525575616592409e-15,'NAN',0.0145227000000,1752.9234547885371,1.6177865108972832e-12,L,./data/L/L8
4.15235,0.931857,3.933797535400862e-15,'NAN',0.0147648000000,2252.575115637268,6.888618523884787e-12,L,./data/L/L9
2.41170,0.931797,5.1411115245147726e-15,'NAN',0.0141447000000,2312.603754309794,9.489013067390988e-12,L,./data/L/L10
2.41731,0.935230,1.316134332120646e-15,'NAN',0.0158795000000,2179.482357896637,2.1575879152750463e-12,L,./data/L/L11
2.41217,0.932267,6.126425418856857e-16,'NAN',0.0173529000000,1782.6777079154924,6.719150756975399e-13,L,./data/L/L12
2.41736,0.815175,3.67034446402611e-15,'NAN',0.0143681000000,1887.896379403582,4.51465636246286e-12,L,./data/L/L13
