# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:32 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4121 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 45977'           /                                                
# SPTYPE  = 'K4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.813201 / Minimum wavelength (um)                        
# MAXWAVE =              2.41745 / Maximum wavelength (um)                        
# V       =        9.14000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.12000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.07900000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        6.60100000000 / 2MASS H magnitude                              
# HERR    =      0.0340000000000 / 2MASS H magnitude error                        
# KS      =        6.40600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0132598000000 / Relative error in the absolute flux calibration
# RV      =        11.6572260000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.00000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813201                1.10457e-11         3.19675e-14
             0.813403                1.09734e-11         3.23217e-14
             0.813605                1.10117e-11         3.24105e-14
             0.813807                1.11012e-11         3.28433e-14
             0.814010                1.11144e-11         3.25275e-14
             0.814212                1.10963e-11         3.27014e-14
             0.814414                1.10352e-11         3.27228e-14
             0.814616                1.09920e-11         3.24969e-14
             0.814818                1.09931e-11         3.25991e-14
             0.815020                1.10052e-11         3.31651e-14
             0.815222                1.09806e-11         3.27436e-14
             0.815425                1.10955e-11         3.34940e-14
             0.815627                1.09665e-11         3.33527e-14
             0.815829                1.11039e-11         3.35643e-14
             0.815967                1.11630e-11         2.73188e-14
             0.816200                1.09394e-11         2.64185e-14
             0.816433                1.07624e-11         2.63096e-14
             0.816666                1.09692e-11         2.67250e-14
             0.816900                1.10345e-11         2.71182e-14
             0.817133                1.09294e-11         2.84062e-14
             0.817366                1.09923e-11         2.74535e-14
             0.817599                1.10092e-11         2.61189e-14
             0.817833                1.09671e-11         2.61317e-14
             0.818066                1.09009e-11         2.62314e-14
             0.818299                1.04610e-11         2.59351e-14
             0.818532                9.59631e-12         2.51692e-14
             0.818765                9.88557e-12         2.65816e-14
             0.818999                1.05915e-11         2.65993e-14
             0.819232                1.08691e-11         2.57852e-14
             0.819465                1.03244e-11         2.48649e-14
             0.819698                9.01675e-12         2.28845e-14
             0.819931                9.54089e-12         2.45564e-14
             0.820164                1.05176e-11         2.70430e-14
             0.820397                1.08041e-11         2.66002e-14
             0.820630                1.08345e-11         2.51972e-14
             0.820864                1.06794e-11         2.43067e-14
             0.821097                1.06647e-11         2.42913e-14
             0.821330                1.06447e-11         2.55591e-14
             0.821563                1.04287e-11         2.55064e-14
             0.821796                1.06388e-11         2.66739e-14
             0.822029                1.05692e-11         2.54563e-14
             0.822262                1.00547e-11         2.39393e-14
             0.822495                1.04530e-11         2.42390e-14
             0.822728                1.10010e-11         2.56520e-14
             0.822961                1.10035e-11         2.75721e-14
             0.823194                1.08874e-11         2.86412e-14
             0.823427                1.06703e-11         2.66814e-14
             0.823660                1.07458e-11         2.53457e-14
             0.823893                1.08466e-11         2.45520e-14
             0.824126                1.08202e-11         2.42849e-14
             0.824359                1.08368e-11         2.49362e-14
             0.824592                1.09464e-11         2.61106e-14
             0.824825                1.08254e-11         2.61581e-14
             0.825058                1.07503e-11         2.51051e-14
             0.825291                1.08446e-11         2.44438e-14
             0.825524                1.08603e-11         2.43398e-14
             0.825757                1.07278e-11         2.44715e-14
             0.825990                1.08012e-11         2.57018e-14
             0.826223                1.09860e-11         2.61355e-14
             0.826456                1.09327e-11         2.59925e-14
             0.826689                1.08553e-11         2.47209e-14
             0.826922                1.08411e-11         2.41252e-14
             0.827155                1.08399e-11         2.40761e-14
             0.827387                1.08752e-11         2.46940e-14
             0.827620                1.07406e-11         2.55351e-14
             0.827853                1.07508e-11         2.63092e-14
             0.828086                1.08687e-11         2.53262e-14
             0.828319                1.08962e-11         2.51053e-14
             0.828552                1.08843e-11         2.44769e-14
             0.828785                1.08012e-11         2.41258e-14
             0.829018                1.07210e-11         2.50620e-14
             0.829250                1.07339e-11         2.55163e-14
             0.829483                1.06336e-11         2.53960e-14
             0.829716                1.06547e-11         2.45488e-14
             0.829949                1.06889e-11         2.37061e-14
             0.830182                1.07237e-11         2.36841e-14
             0.830414                1.07481e-11         2.41191e-14
             0.830647                1.05486e-11         2.47280e-14
             0.830880                1.03870e-11         2.49415e-14
             0.831113                1.03526e-11         2.40080e-14
             0.831346                1.04117e-11         2.35721e-14
             0.831578                1.06330e-11         2.34920e-14
             0.831811                1.07742e-11         2.36502e-14
             0.832044                1.07698e-11         2.42679e-14
             0.832277                1.07070e-11         2.51298e-14
             0.832509                1.06148e-11         2.48502e-14
             0.832742                1.00854e-11         2.30689e-14
             0.832975                9.62840e-12         2.21595e-14
             0.833207                1.00640e-11         2.26280e-14
             0.833440                1.00429e-11         2.26981e-14
             0.833673                1.02599e-11         2.34684e-14
             0.833906                1.05028e-11         2.45258e-14
             0.834138                1.02626e-11         2.37236e-14
             0.834371                1.03439e-11         2.31605e-14
             0.834604                1.03925e-11         2.25809e-14
             0.834836                1.01670e-11         2.24349e-14
             0.835069                1.01696e-11         2.26873e-14
             0.835302                1.04997e-11         2.41318e-14
             0.835534                1.05721e-11         2.41693e-14
             0.835767                1.05967e-11         2.36099e-14
             0.836000                1.05825e-11         2.31804e-14
             0.836232                1.04590e-11         2.25719e-14
             0.836465                1.03221e-11         2.25065e-14
             0.836697                1.01226e-11         2.25798e-14
             0.836930                1.04419e-11         2.35231e-14
             0.837163                1.06173e-11         2.35809e-14
             0.837395                1.05502e-11         2.30815e-14
             0.837628                1.05559e-11         2.33205e-14
             0.837860                1.04237e-11         2.24598e-14
             0.838093                1.03247e-11         2.24415e-14
             0.838326                1.02065e-11         2.26657e-14
             0.838558                9.96353e-12         2.30073e-14
             0.838791                9.79812e-12         2.22859e-14
             0.839023                9.39055e-12         2.11847e-14
             0.839256                9.89403e-12         2.16423e-14
             0.839488                1.06049e-11         2.24725e-14
             0.839721                1.05241e-11         2.26825e-14
             0.839953                1.03697e-11         2.29348e-14
