# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:36 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4132 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 42454'           /                                                
# SPTYPE  = 'G2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 12'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.806406 / Minimum wavelength (um)                        
# MAXWAVE =              2.41157 / Maximum wavelength (um)                        
# V       =        7.36100000000 / V magnitude                                    
# VERR    =      0.0140000000000 / V magnitude error                              
# (B-V)   =        1.23200000000 / B-V color                                      
# (B-V)ERR=      0.0310000000000 / B-V color error                                
# J       =        5.12100000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.69300000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.59800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0550000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EEE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0233594000000 / Relative error in the absolute flux calibration
# RV      =       -36.8618340000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =       0.352000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806406                5.08597e-11         9.70608e-14
             0.806608                5.11661e-11         9.28060e-14
             0.806811                5.09931e-11         9.33801e-14
             0.807013                5.05081e-11         9.24316e-14
             0.807216                4.98640e-11         9.17155e-14
             0.807418                4.95191e-11         9.19273e-14
             0.807621                4.94831e-11         9.44393e-14
             0.807823                5.01375e-11         9.21839e-14
             0.808025                5.07756e-11         9.35777e-14
             0.808228                5.01610e-11         9.22302e-14
             0.808430                4.99121e-11         9.27558e-14
             0.808633                4.89618e-11         9.15087e-14
             0.808835                4.90015e-11         9.18357e-14
             0.809038                5.02628e-11         9.30625e-14
             0.809240                4.99250e-11         9.28666e-14
             0.809443                4.86768e-11         9.12923e-14
             0.809567                4.84739e-11         8.14061e-14
             0.809800                4.89826e-11         7.80253e-14
             0.810034                4.90753e-11         7.62526e-14
             0.810267                4.99542e-11         7.68774e-14
             0.810500                5.03675e-11         7.92406e-14
             0.810733                4.99494e-11         8.23484e-14
             0.810967                4.99042e-11         8.53672e-14
             0.811200                5.00686e-11         8.36724e-14
             0.811433                4.99338e-11         7.77078e-14
             0.811666                4.97697e-11         7.63743e-14
             0.811900                4.99154e-11         8.02996e-14
             0.812133                5.00239e-11         8.01249e-14
             0.812366                5.01154e-11         8.43427e-14
             0.812599                4.99780e-11         8.38085e-14
             0.812833                4.99409e-11         7.92943e-14
             0.813066                4.99307e-11         7.67143e-14
             0.813299                4.99793e-11         7.66863e-14
             0.813532                5.01379e-11         7.89680e-14
             0.813766                5.02252e-11         8.34223e-14
             0.813999                5.02216e-11         8.57215e-14
             0.814232                5.00497e-11         8.17665e-14
             0.814465                4.97196e-11         7.82082e-14
             0.814698                4.99091e-11         7.64929e-14
             0.814931                4.97783e-11         7.74886e-14
             0.815164                4.98298e-11         8.03568e-14
             0.815398                4.99876e-11         8.38850e-14
             0.815631                5.01798e-11         8.45050e-14
             0.815864                5.02361e-11         8.04648e-14
             0.816097                5.04270e-11         7.76697e-14
             0.816330                4.97965e-11         7.71557e-14
             0.816563                4.96202e-11         8.04361e-14
             0.816796                5.03867e-11         8.36419e-14
             0.817029                4.99989e-11         8.59326e-14
             0.817263                4.98245e-11         8.25831e-14
             0.817496                5.01316e-11         7.82797e-14
             0.817729                4.98332e-11         7.54624e-14
             0.817962                4.97292e-11         7.77514e-14
             0.818195                4.93708e-11         8.21731e-14
             0.818428                4.72157e-11         8.04009e-14
             0.818661                4.67745e-11         7.94074e-14
             0.818894                4.86030e-11         8.06100e-14
             0.819127                4.98870e-11         7.73449e-14
             0.819360                4.97665e-11         7.64499e-14
             0.819593                4.65040e-11         7.36024e-14
             0.819826                4.60001e-11         7.49199e-14
             0.820059                4.77239e-11         8.06201e-14
             0.820292                4.80521e-11         7.89742e-14
             0.820525                4.88540e-11         7.54532e-14
             0.820758                4.94243e-11         7.35731e-14
             0.820991                4.91150e-11         7.32245e-14
             0.821224                4.90170e-11         7.46229e-14
             0.821457                4.85175e-11         7.76207e-14
             0.821690                4.83197e-11         7.92977e-14
             0.821923                4.90981e-11         7.70015e-14
             0.822156                4.78502e-11         7.64582e-14
             0.822389                4.76851e-11         7.23691e-14
             0.822622                4.99985e-11         7.57598e-14
             0.822855                5.03939e-11         7.97253e-14
             0.823087                4.99334e-11         8.61796e-14
             0.823320                4.92289e-11         8.44457e-14
             0.823553                4.92844e-11         8.00877e-14
             0.823786                4.98178e-11         7.66885e-14
             0.824019                4.96066e-11         7.38455e-14
             0.824252                4.94020e-11         7.66790e-14
             0.824485                4.96782e-11         7.76567e-14
             0.824718                4.97884e-11         8.09133e-14
             0.824951                4.82506e-11         7.55234e-14
             0.825183                4.75519e-11         7.21928e-14
             0.825416                4.91692e-11         7.29296e-14
             0.825649                4.92634e-11         7.27940e-14
             0.825882                4.93480e-11         7.55198e-14
             0.826115                4.98923e-11         7.85010e-14
             0.826348                5.01228e-11         7.94333e-14
             0.826580                4.97740e-11         7.56313e-14
             0.826813                4.96025e-11         7.34748e-14
             0.827046                4.96249e-11         7.20783e-14
             0.827279                5.01141e-11         7.50323e-14
             0.827512                4.94554e-11         7.58842e-14
             0.827744                4.91581e-11         8.08765e-14
             0.827977                4.97336e-11         7.78094e-14
             0.828210                5.00640e-11         7.55559e-14
             0.828443                4.98941e-11         7.40478e-14
             0.828675                4.97793e-11         7.30482e-14
             0.828908                4.93086e-11         7.36311e-14
             0.829141                4.93285e-11         7.69982e-14
             0.829374                4.93834e-11         7.77536e-14
             0.829606                4.87580e-11         7.46509e-14
             0.829839                4.91210e-11         7.31863e-14
             0.830072                4.92587e-11         7.16892e-14
             0.830305                4.95585e-11         7.21905e-14
             0.830537                4.93647e-11         7.49869e-14
             0.830770                4.87744e-11         7.64182e-14
             0.831003                4.86840e-11         7.60712e-14
             0.831235                4.85819e-11         7.21506e-14
             0.831468                4.88255e-11         7.25217e-14
             0.831701                4.95012e-11         7.11731e-14
             0.831933                4.95263e-11         7.51172e-14
             0.832166                4.95114e-11         7.46828e-14
             0.832399                4.91364e-11         7.70003e-14
             0.832631                4.84752e-11         7.42359e-14
             0.832864                4.64102e-11         6.90098e-14
             0.833096                4.66026e-11         6.94483e-14
             0.833329                4.70061e-11         6.90669e-14
             0.833562                4.57502e-11         6.85829e-14
             0.833794                4.66273e-11         7.12354e-14
             0.834027                4.73021e-11         7.28596e-14
             0.834260                4.81999e-11         7.20042e-14
             0.834492                4.89866e-11         7.07736e-14
             0.834725                4.80885e-11         7.09983e-14
             0.834957                4.78698e-11         6.93568e-14
             0.835190                4.90987e-11         7.12983e-14
             0.835422                4.97826e-11         7.72184e-14
             0.835655                4.96372e-11         7.34312e-14
             0.835887                4.91382e-11         7.14040e-14
             0.836120                4.84285e-11         6.94542e-14
             0.836353                4.83309e-11         6.97052e-14
             0.836585                4.84521e-11         6.94906e-14
             0.836818                4.83861e-11         7.36459e-14
             0.837050                4.93575e-11         7.35821e-14
             0.837283                4.93540e-11         7.16408e-14
             0.837515                4.89471e-11         7.01016e-14
             0.837748                4.87852e-11         6.89255e-14
             0.837980                4.89555e-11         6.91734e-14
             0.838213                4.92807e-11         7.03687e-14
             0.838445                4.87585e-11         7.12560e-14
             0.838678                4.83212e-11         7.14725e-14
             0.838910                4.67179e-11         6.81265e-14
             0.839143                4.66914e-11         6.74900e-14
             0.839375                4.84613e-11         6.98604e-14
             0.839608                4.89589e-11         6.90931e-14
             0.839840                4.90137e-11         7.11066e-14
             0.840072                4.91397e-11         7.21259e-14
             0.840305                4.90800e-11         7.10386e-14
             0.840537                4.90410e-11         6.92963e-14
             0.840770                4.92201e-11         6.88273e-14
             0.841002                4.95189e-11         6.90649e-14
             0.841235                4.90952e-11         7.00551e-14
             0.841467                4.80117e-11         7.09214e-14
             0.841699                4.83477e-11         7.13983e-14
             0.841932                4.88576e-11         7.05727e-14
             0.842164                4.87236e-11         6.84909e-14
             0.842397                4.85828e-11         6.75019e-14
             0.842629                4.80566e-11         6.79229e-14
             0.842861                4.78014e-11         6.73067e-14
             0.843094                4.88531e-11         6.97686e-14
             0.843326                4.97729e-11         7.12708e-14
             0.843558                4.80537e-11         6.88376e-14
             0.843791                4.60983e-11         6.57676e-14
             0.844023                4.64560e-11         6.58095e-14
             0.844255                4.79965e-11         6.78997e-14
             0.844488                4.93077e-11         7.02768e-14
             0.844720                4.82801e-11         7.05494e-14
             0.844952                4.77153e-11         6.92348e-14
             0.845185                4.90422e-11         6.87508e-14
             0.845417                4.96765e-11         6.82203e-14
             0.845649                4.96438e-11         6.76923e-14
             0.845882                4.93495e-11         6.75739e-14
             0.846114                4.92803e-11         6.93902e-14
             0.846346                4.89773e-11         6.94631e-14
             0.846578                4.87251e-11         6.81115e-14
             0.846811                4.64480e-11         6.49986e-14
             0.847043                4.48133e-11         6.28175e-14
             0.847275                4.60675e-11         6.40585e-14
             0.847507                4.81551e-11         6.66218e-14
             0.847740                4.87823e-11         6.79809e-14
             0.847972                4.88031e-11         6.83042e-14
             0.848204                4.81253e-11         6.66949e-14
             0.848436                4.77548e-11         6.48683e-14
             0.848669                4.79352e-11         6.48965e-14
             0.848901                4.81109e-11         6.49502e-14
             0.849133                4.81201e-11         6.60083e-14
             0.849365                4.75632e-11         6.66839e-14
             0.849597                4.50926e-11         6.40040e-14
             0.849830                3.65422e-11         5.51154e-14
             0.850062                3.06056e-11         4.94305e-14
             0.850294                3.64286e-11         5.43174e-14
             0.850526                4.27084e-11         6.05825e-14
             0.850758                4.60517e-11         6.42638e-14
             0.850991                4.74333e-11         6.63867e-14
             0.851223                4.74957e-11         6.54926e-14
             0.851455                4.54006e-11         6.31179e-14
             0.851687                4.37208e-11         6.05582e-14
             0.851919                4.51638e-11         6.14888e-14
             0.852151                4.68799e-11         6.33193e-14
             0.852383                4.69582e-11         6.42884e-14
             0.852616                4.64531e-11         6.43462e-14
             0.852848                4.53027e-11         6.25237e-14
             0.853080                4.54034e-11         6.33459e-14
             0.853312                4.54878e-11         6.16534e-14
             0.853544                4.40231e-11         6.03738e-14
             0.853776                4.06108e-11         5.79887e-14
             0.854008                3.45545e-11         5.35049e-14
             0.854240                2.55387e-11         4.41857e-14
             0.854472                2.09032e-11         3.93803e-14
             0.854705                2.70506e-11         4.49345e-14
             0.854937                3.59664e-11         5.29578e-14
             0.855169                4.09386e-11         5.75500e-14
             0.855401                4.38741e-11         6.07708e-14
             0.855633                4.44887e-11         6.19039e-14
             0.855865                4.42169e-11         6.10566e-14
             0.856097                4.51224e-11         6.11186e-14
             0.856329                4.61380e-11         6.12958e-14
             0.856561                4.65290e-11         6.15724e-14
             0.856793                4.64591e-11         6.15637e-14
             0.857025                4.63578e-11         6.17440e-14
             0.857257                4.63660e-11         6.23354e-14
             0.857489                4.62613e-11         6.13884e-14
             0.857721                4.66749e-11         6.10421e-14
             0.857953                4.72710e-11         6.18581e-14
             0.858185                4.71223e-11         6.16903e-14
             0.858417                4.58891e-11         6.10013e-14
             0.858649                4.60730e-11         6.20651e-14
             0.858881                4.66887e-11         6.27403e-14
             0.859113                4.71610e-11         6.23537e-14
             0.859345                4.65623e-11         6.11760e-14
             0.859577                4.58189e-11         6.03697e-14
             0.859809                4.44973e-11         5.93562e-14
             0.860041                4.36350e-11         5.89415e-14
             0.860273                4.48753e-11         6.05779e-14
             0.860505                4.63748e-11         6.19076e-14
             0.860737                4.65249e-11         6.10901e-14
             0.860969                4.64207e-11         6.09569e-14
             0.861201                4.52995e-11         5.93527e-14
             0.861433                4.44435e-11         5.86570e-14
             0.861664                4.50306e-11         5.95654e-14
             0.861896                4.59111e-11         6.05105e-14
             0.862128                4.56113e-11         5.99683e-14
             0.862360                4.50906e-11         5.89200e-14
             0.862592                4.55353e-11         5.88596e-14
             0.862824                4.61790e-11         5.88098e-14
             0.863056                4.60801e-11         5.90908e-14
             0.863288                4.60150e-11         5.94129e-14
             0.863520                4.60810e-11         6.06473e-14
             0.863752                4.62721e-11         5.97710e-14
             0.863983                4.65913e-11         6.00435e-14
             0.864215                4.64950e-11         5.91977e-14
             0.864447                4.59644e-11         5.88619e-14
             0.864679                4.59593e-11         5.91440e-14
             0.864911                4.45925e-11         5.84123e-14
             0.865143                4.38272e-11         5.80303e-14
             0.865375                4.43028e-11         5.80701e-14
             0.865606                4.36335e-11         5.68585e-14
             0.865838                4.10285e-11         5.46814e-14
             0.866070                3.52946e-11         4.98100e-14
             0.866302                2.57402e-11         4.14574e-14
             0.866534                2.31011e-11         3.92221e-14
             0.866765                3.12802e-11         4.69015e-14
             0.866997                3.88707e-11         5.32056e-14
             0.867229                4.18873e-11         5.56011e-14
             0.867461                4.26367e-11         5.61720e-14
             0.867693                4.25696e-11         5.59473e-14
             0.867924                4.36900e-11         5.71958e-14
             0.868156                4.39295e-11         5.79203e-14
             0.868388                4.41504e-11         5.75891e-14
             0.868620                4.50981e-11         5.79123e-14
             0.868852                4.36533e-11         5.64482e-14
             0.869083                4.19082e-11         5.49067e-14
             0.869315                4.37025e-11         5.63184e-14
             0.869547                4.50576e-11         5.78976e-14
             0.869779                4.52148e-11         5.84113e-14
             0.870010                4.53791e-11         5.86265e-14
             0.870242                4.50003e-11         5.76134e-14
             0.870474                4.54276e-11         5.79280e-14
             0.870706                4.59809e-11         5.83341e-14
             0.870937                4.60021e-11         5.86820e-14
             0.871169                4.46248e-11         5.71858e-14
             0.871401                4.34595e-11         5.66882e-14
             0.871632                4.44003e-11         5.75477e-14
             0.871864                4.51019e-11         5.75545e-14
             0.872096                4.54025e-11         6.00212e-14
             0.872328                4.63533e-11         5.87510e-14
             0.872559                4.66314e-11         5.96259e-14
             0.872791                4.54344e-11         5.87405e-14
             0.873023                4.44686e-11         5.82469e-14
             0.873254                4.50760e-11         5.80977e-14
             0.873486                4.59819e-11         5.84721e-14
             0.873718                4.50997e-11         5.76976e-14
             0.873949                4.51451e-11         5.77317e-14
             0.874181                4.54559e-11         5.82311e-14
             0.874413                4.47101e-11         5.79189e-14
             0.874644                4.48671e-11         5.81524e-14
             0.874876                4.49620e-11         5.76477e-14
             0.875108                4.30643e-11         5.57646e-14
             0.875339                4.14294e-11         5.42523e-14
             0.875571                4.28892e-11         5.56156e-14
             0.875802                4.40431e-11         5.67721e-14
             0.876034                4.43488e-11         5.71762e-14
             0.876266                4.55341e-11         5.80522e-14
             0.876497                4.49203e-11         5.70806e-14
             0.876729                4.46780e-11         5.66751e-14
             0.876961                4.54752e-11         5.74184e-14
             0.877192                4.55945e-11         5.76303e-14
             0.877424                4.41531e-11         5.65256e-14
             0.877655                4.43754e-11         5.69370e-14
             0.877887                4.55704e-11         5.76909e-14
             0.878118                4.60072e-11         5.76729e-14
             0.878350                4.57556e-11         5.74724e-14
             0.878582                4.58679e-11         5.73921e-14
             0.878813                4.57970e-11         5.75313e-14
             0.879045                4.53552e-11         5.75053e-14
             0.879276                4.39882e-11         5.62314e-14
             0.879508                4.34129e-11         5.53500e-14
             0.879739                4.40814e-11         5.55958e-14
             0.879971                4.52148e-11         5.66210e-14
             0.880203                4.57292e-11         5.77670e-14
             0.880434                4.52154e-11         5.65264e-14
             0.880666                4.26065e-11         5.49223e-14
             0.880897                4.03452e-11         5.28238e-14
             0.881129                4.24522e-11         5.49082e-14
             0.881360                4.52743e-11         5.64332e-14
             0.881592                4.58927e-11         5.68214e-14
             0.881823                4.61277e-11         5.71989e-14
             0.882055                4.61227e-11         5.86166e-14
             0.882286                4.56387e-11         5.73124e-14
             0.882518                4.36229e-11         5.58737e-14
             0.882749                4.32960e-11         5.52828e-14
             0.882981                4.53411e-11         5.77973e-14
             0.883212                4.61349e-11         5.78228e-14
             0.883444                4.61956e-11         5.80605e-14
             0.883675                4.57899e-11         5.77605e-14
             0.883907                4.42660e-11         5.71466e-14
             0.884138                4.38337e-11         5.63741e-14
             0.884370                4.54797e-11         5.83719e-14
             0.884601                4.60954e-11         5.87329e-14
             0.884833                4.57752e-11         5.84019e-14
             0.885064                4.58163e-11         5.91372e-14
             0.885295                4.62603e-11         6.01222e-14
             0.885527                4.63079e-11         6.08828e-14
             0.885758                4.61817e-11         6.20192e-14
             0.885990                4.55807e-11         6.19229e-14
             0.886221                4.40556e-11         5.98135e-14
             0.886453                4.19883e-11         5.77298e-14
             0.886684                4.18074e-11         5.76780e-14
             0.886915                4.26288e-11         5.83503e-14
             0.887147                4.39944e-11         5.94246e-14
             0.887378                4.56773e-11         6.08036e-14
             0.887610                4.55198e-11         6.04285e-14
             0.887841                4.53009e-11         6.02489e-14
             0.888073                4.53289e-11         5.96489e-14
             0.888304                4.55461e-11         5.97643e-14
             0.888535                4.53948e-11         5.97894e-14
             0.888767                4.57915e-11         6.04391e-14
             0.888998                4.59898e-11         6.07125e-14
             0.889229                4.53054e-11         6.23584e-14
             0.889461                4.47307e-11         6.48690e-14
             0.889692                4.53565e-11         6.06050e-14
             0.889924                4.55874e-11         6.54801e-14
             0.890155                4.57291e-11         5.81332e-14
             0.890386                4.57407e-11         6.51415e-14
             0.890618                4.57025e-11         5.90881e-14
             0.890849                4.56175e-11         5.75513e-14
             0.891080                4.50470e-11         5.66411e-14
             0.891312                4.29556e-11         5.52322e-14
             0.891543                4.25834e-11         5.44896e-14
             0.891774                4.44719e-11         5.64646e-14
             0.892006                4.49457e-11         5.70173e-14
             0.892237                4.46437e-11         5.65503e-14
             0.892468                4.44723e-11         5.62188e-14
             0.892700                4.32345e-11         5.53203e-14
             0.892931                4.14939e-11         5.37165e-14
             0.893162                4.24442e-11         5.51427e-14
             0.893394                4.47393e-11         5.69756e-14
             0.893625                4.54423e-11         5.81055e-14
             0.893856                4.54585e-11         5.90652e-14
             0.894088                4.55117e-11         5.70049e-14
             0.894319                4.49271e-11         5.67395e-14
             0.894550                4.38620e-11         5.66750e-14
             0.894782                4.28634e-11         5.69331e-14
             0.895013                4.33737e-11         5.96412e-14
             0.895244                4.45723e-11         6.26903e-14
